date,date_key,day,month,month_name,quarter,year,financial_year
2015-01-01,20150101,1,1,January,1,2015,2014/15
2015-01-02,20150102,2,1,January,1,2015,2014/15
2015-01-03,20150103,3,1,January,1,2015,2014/15
2015-01-04,20150104,4,1,January,1,2015,2014/15
2015-01-05,20150105,5,1,January,1,2015,2014/15
2015-01-06,20150106,6,1,January,1,2015,2014/15
2015-01-07,20150107,7,1,January,1,2015,2014/15
2015-01-08,20150108,8,1,January,1,2015,2014/15
2015-01-09,20150109,9,1,January,1,2015,2014/15
2015-01-10,20150110,10,1,January,1,2015,2014/15
2015-01-11,20150111,11,1,January,1,2015,2014/15
2015-01-12,20150112,12,1,January,1,2015,2014/15
2015-01-13,20150113,13,1,January,1,2015,2014/15
2015-01-14,20150114,14,1,January,1,2015,2014/15
2015-01-15,20150115,15,1,January,1,2015,2014/15
2015-01-16,20150116,16,1,January,1,2015,2014/15
2015-01-17,20150117,17,1,January,1,2015,2014/15
2015-01-18,20150118,18,1,January,1,2015,2014/15
2015-01-19,20150119,19,1,January,1,2015,2014/15
2015-01-20,20150120,20,1,January,1,2015,2014/15
2015-01-21,20150121,21,1,January,1,2015,2014/15
2015-01-22,20150122,22,1,January,1,2015,2014/15
2015-01-23,20150123,23,1,January,1,2015,2014/15
2015-01-24,20150124,24,1,January,1,2015,2014/15
2015-01-25,20150125,25,1,January,1,2015,2014/15
2015-01-26,20150126,26,1,January,1,2015,2014/15
2015-01-27,20150127,27,1,January,1,2015,2014/15
2015-01-28,20150128,28,1,January,1,2015,2014/15
2015-01-29,20150129,29,1,January,1,2015,2014/15
2015-01-30,20150130,30,1,January,1,2015,2014/15
2015-01-31,20150131,31,1,January,1,2015,2014/15
2015-02-01,20150201,1,2,February,1,2015,2014/15
2015-02-02,20150202,2,2,February,1,2015,2014/15
2015-02-03,20150203,3,2,February,1,2015,2014/15
2015-02-04,20150204,4,2,February,1,2015,2014/15
2015-02-05,20150205,5,2,February,1,2015,2014/15
2015-02-06,20150206,6,2,February,1,2015,2014/15
2015-02-07,20150207,7,2,February,1,2015,2014/15
2015-02-08,20150208,8,2,February,1,2015,2014/15
2015-02-09,20150209,9,2,February,1,2015,2014/15
2015-02-10,20150210,10,2,February,1,2015,2014/15
2015-02-11,20150211,11,2,February,1,2015,2014/15
2015-02-12,20150212,12,2,February,1,2015,2014/15
2015-02-13,20150213,13,2,February,1,2015,2014/15
2015-02-14,20150214,14,2,February,1,2015,2014/15
2015-02-15,20150215,15,2,February,1,2015,2014/15
2015-02-16,20150216,16,2,February,1,2015,2014/15
2015-02-17,20150217,17,2,February,1,2015,2014/15
2015-02-18,20150218,18,2,February,1,2015,2014/15
2015-02-19,20150219,19,2,February,1,2015,2014/15
2015-02-20,20150220,20,2,February,1,2015,2014/15
2015-02-21,20150221,21,2,February,1,2015,2014/15
2015-02-22,20150222,22,2,February,1,2015,2014/15
2015-02-23,20150223,23,2,February,1,2015,2014/15
2015-02-24,20150224,24,2,February,1,2015,2014/15
2015-02-25,20150225,25,2,February,1,2015,2014/15
2015-02-26,20150226,26,2,February,1,2015,2014/15
2015-02-27,20150227,27,2,February,1,2015,2014/15
2015-02-28,20150228,28,2,February,1,2015,2014/15
2015-03-01,20150301,1,3,March,1,2015,2014/15
2015-03-02,20150302,2,3,March,1,2015,2014/15
2015-03-03,20150303,3,3,March,1,2015,2014/15
2015-03-04,20150304,4,3,March,1,2015,2014/15
2015-03-05,20150305,5,3,March,1,2015,2014/15
2015-03-06,20150306,6,3,March,1,2015,2014/15
2015-03-07,20150307,7,3,March,1,2015,2014/15
2015-03-08,20150308,8,3,March,1,2015,2014/15
2015-03-09,20150309,9,3,March,1,2015,2014/15
2015-03-10,20150310,10,3,March,1,2015,2014/15
2015-03-11,20150311,11,3,March,1,2015,2014/15
2015-03-12,20150312,12,3,March,1,2015,2014/15
2015-03-13,20150313,13,3,March,1,2015,2014/15
2015-03-14,20150314,14,3,March,1,2015,2014/15
2015-03-15,20150315,15,3,March,1,2015,2014/15
2015-03-16,20150316,16,3,March,1,2015,2014/15
2015-03-17,20150317,17,3,March,1,2015,2014/15
2015-03-18,20150318,18,3,March,1,2015,2014/15
2015-03-19,20150319,19,3,March,1,2015,2014/15
2015-03-20,20150320,20,3,March,1,2015,2014/15
2015-03-21,20150321,21,3,March,1,2015,2014/15
2015-03-22,20150322,22,3,March,1,2015,2014/15
2015-03-23,20150323,23,3,March,1,2015,2014/15
2015-03-24,20150324,24,3,March,1,2015,2014/15
2015-03-25,20150325,25,3,March,1,2015,2014/15
2015-03-26,20150326,26,3,March,1,2015,2014/15
2015-03-27,20150327,27,3,March,1,2015,2014/15
2015-03-28,20150328,28,3,March,1,2015,2014/15
2015-03-29,20150329,29,3,March,1,2015,2014/15
2015-03-30,20150330,30,3,March,1,2015,2014/15
2015-03-31,20150331,31,3,March,1,2015,2014/15
